,Reporting_Month,Provider,MDT,Service Line,Service Line Code,Source,Source Description,Actual Cost,Actual Activity,POD,POD_Detail,National_POD_Code,revised_national_POD,Contract_Type,PBR FLAG,HRG Code,Revised HRG Code,HRG Desc,Excess bed days,Excess bed day Cost,Drug/Device Name,Highly Specialised,Adhoc_Further_Detail,Annual Plan excl CQUIN,YTD Plan excl CQUIN,YTD Variance,Annual Plan inc CQUIN,Activity Plan,Activity YTD Plan,Unit Price,Marginal Rate,Marginal Threshold,CQUIN,Main Specialty Code,Treatment Function Code,TFC Description,Provider_Code,Provider_Site,Claims_Category,Challenge Amount,POD Level 1,POD Level 2,POD Level 3,POD Level 4,POD Order,Measure,Measure Description,HRG Chapter,HRG Subchapter,NPoc,NPoC_Service,NPoC_Service_Code,Reported_Flag,Flex_Freeze,Drug Category/Device Code,Drug Device Indicator,Order,Type,Provider Tier,Reporting Quarter,CCG_Code,Activity_Type,Challenged_Activity,Source_ID,Report_Flag_Category,RAW_Commissioned_Service_Category_Code,RAW_Organisation_Identifier_Code_Of_Commissioner,Raw_Service_Line_Code,Raw_National_POD_Code,CCG Region Code,CCG Region Name,CCG STP Code,CCG STP Name,Provider Region Code,Provider Region Name,Provider STP Code,Provider STP Name,MFF payment index for _2019/20,PROVIDER TARIFF UNIT COST FOR XBD (Z),ACTUAL TARIFF UNIT COST FOR XBD (Z),ACTUAL TARIFF XBD DAYS 2021 COST (Z),Variance of 1920 cost,2020/21 MFF,2020/21 STU,2020/21 XBD TARIFF,2020/21 Base HRG,2020/21 STU COST,2020/21 MFF COST,2020/21 TOTAL UNIT COST,2020/21 TOTAL COST INITIAL,2020/21 TOTAL COST FINAL
10,4.0,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NWL,ADULT SPECIALIST NEUROSCIENCES SERVICES: NEUROLOGY,NCBPS08O,PLD,PLD,10078.3189296532,1.0,DC,Daycase,DC,DC,Cost and Volume,Y,AA26C,AA26C,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 15+",0.0,0.0,,No,,0.0,0.0,10078.3189296532,0.0,0.0,0.0,,,,,400,400,Neurology,RYJ,RYJ02,,0.0,Admitted Patient Care,Elective (admission method 11-13),Elective (admission method 11-13),Daycase (patient class 2 & LoS 0),8.0,SPELL,Finished spell,Nervous System,Nervous System Procedures and Disorders,D: Trauma,NEUROSCIENCES,D04,Yes,Freeze,,,4.0,AC,1.0,Q2,,PLCM,Not Queried,PLCM/599676/411699,Yes,21,13R,NCBPS08O,DC,Y56,London,QRV,North West London STP,Y56,London,QRV,North West London Health & Care Partnership (STP),1.226822,7639.0,7639.0,0.0,34.98059999999896,0.21191899999999997,0.0754,257.0,7824.0,589.9295999999999,1783.0715469023996,10197.0011469024,10197.0011469024,10197.001146902
11,8.0,ROYAL FREE LONDON NHS FOUNDATION TRUST,NWL,ADULT SPECIALIST NEUROSCIENCES SERVICES: NEUROLOGY,NCBPS08O,PLD,PLD,5989.34814252,2.0,NEL,Non-Elective,NEL,NEL,Block,Y,AA26F,AA26F,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",0.0,0.0,,No,,0.0,0.0,5989.34814252,0.0,0.0,0.0,,,,,400,400,Neurology,RAL,RAL01,,0.0,Admitted Patient Care,Non-elective,"Emergency (admission method 21-25,28, 2A-2D)",Emergency,1.0,SPELL,Finished spell,Nervous System,Nervous System Procedures and Disorders,D: Trauma,NEUROSCIENCES,D04,Yes,Flex,,,7.0,AC,1.0,Q3,,PLCM,Not Queried,PLCM/628717/452976,Yes,21,13R,NCBPS08o,NEL,Y56,London,QMJ,North London STP,Y56,London,QMJ,North London Partners in Health & Care (STP),1.207592,2305.9999999993843,2306.0,0.0,173.87239999933763,0.1955610000000001,0.0754,257.0,2362.0,178.0948,496.74347918280023,3036.8382791828,6073.6765583656,6073.676558366
12,8.0,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,SE,ADULT SPECIALIST NEUROSCIENCES SERVICES: NEUROLOGY,NCBPS08O,PLD,PLD,9074.413033,1.0,IP Non-Elective,IP Non-Elective,NELNE,NEL,Cost and Volume,Y,AA35C,AA35C,Stroke with CC Score 10-12,0.0,0.0,,No,,0.0,0.0,9074.413033,0.0,0.0,0.0,,,,,300,300,General Medicine,RJZ,RJZ30,,0.0,Admitted Patient Care,Non-elective,"Non-emergency (admission method 31-32, 81-83)",Non-emergency,5.0,SPELL,Finished spell,Nervous System,Nervous System Procedures and Disorders,D: Trauma,NEUROSCIENCES,D04,Yes,Flex,,,5.0,AC,1.0,Q3,,PLCM,Not Queried,PLCM/627753/451768,Yes,21,13R,NCBPS08O,NELNE,Y56,London,QKK,South East London STP,Y56,London,QKK,Our Healthier South East London STP,1.202198,7018.955832051849,5594.0,1861.5631134,1954.1851017885574,0.19117000000000006,0.0754,257.0,7171.0,540.6934,1474.2444272780003,9185.937827278,9185.937827278,11047.500940678
13,7.0,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,SE,ADULT SPECIALIST NEUROSCIENCES SERVICES: NEUROLOGY,NCBPS08O,PLD,PLD,97.0,1.0,B4A,F/up multi-professional attendances - tariff,OPFUPMPCL,OPFUPMPCL,Cost and Volume,Y,WF02A,WF02A,"Multiprofessional Non-Admitted Face-to-Face Attendance, Follow-up",0.0,0.0,,No,3411SN,0.0,0.0,97.0,0.0,0.0,0.0,,,,,34182,341,Respiratory Physiology,RJ1,RJ122,,0.0,Outpatient,Attendance,Follow-up,Multi-professional,28.0,ATT,Attendance,"Infectious Diseases, Immune System Disorders and other Healthcare contacts",Non-admitted Consultations,D: Trauma,NEUROSCIENCES,D04,Yes,Freeze,,,2.0,AC,1.0,Q3,,PLCM,Not Queried,COMBINED PLCM/626982/446280,Yes,21,Q71,NCBPS08O,OPFUPMPCL,Y56,London,QRV,North West London STP,Y56,London,QKK,Our Healthier South East London STP,1.257577,71.72443176244624,0.0,0.0,,0.23812600000000006,0.0,,77.0,0.0,18.335702000000005,95.335702,95.335702,95.335702
14,7.0,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,SE,ADULT SPECIALIST NEUROSCIENCES SERVICES: NEUROLOGY,NCBPS08O,PLD,PLD,97.0,1.0,B4A,F/up multi-professional attendances - tariff,OPFUPMPCL,OPFUPMPCL,Cost and Volume,Y,WF02A,WF02A,"Multiprofessional Non-Admitted Face-to-Face Attendance, Follow-up",0.0,0.0,,No,3411SN,0.0,0.0,97.0,0.0,0.0,0.0,,,,,34182,341,Respiratory Physiology,RJ1,RJ122,,0.0,Outpatient,Attendance,Follow-up,Multi-professional,28.0,ATT,Attendance,"Infectious Diseases, Immune System Disorders and other Healthcare contacts",Non-admitted Consultations,D: Trauma,NEUROSCIENCES,D04,Yes,Freeze,,,2.0,AC,1.0,Q3,,PLCM,Not Queried,COMBINED PLCM/626982/446280,Yes,21,Q71,NCBPS08O,OPFUPMPCL,Y61,East of England Commissioning Region,QJG,Suffolk and North East Essex STP,Y56,London,QKK,Our Healthier South East London STP,1.257577,71.72443176244624,0.0,0.0,,0.23812600000000006,0.0,,77.0,0.0,18.335702000000005,95.335702,95.335702,95.335702
15,8.0,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,SE,ADULT SPECIALIST NEUROSCIENCES SERVICES: NEUROLOGY,NCBPS08O,PLD,PLD,1058.832351,1.0,IP Emergency,IP Emergency,NELST,NELST,Cost and Volume,Y,AA26E,AA26E,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 9-11",0.0,0.0,,No,,0.0,0.0,1058.832351,0.0,0.0,0.0,,,,,329,329,Transient Ischaemic Attack,RJZ,RJZ01,,0.0,Admitted Patient Care,Non-elective,"Emergency (admission method 21-25,28, 2A-2D)",Short stay,3.0,SPELL,Finished spell,Nervous System,Nervous System Procedures and Disorders,D: Trauma,NEUROSCIENCES,D04,Yes,Flex,,,5.0,AC,1.0,Q3,,PLCM,Not Queried,PLCM/627753/451768,Yes,21,13R,NCBPS08O,NELST,Y56,London,QKK,South East London STP,Y56,London,QKK,Our Healthier South East London STP,1.202198,818.9948460787259,0.0,0.0,-2394.252942526938,0.19117000000000006,0.0754,257.0,839.0,63.2606,172.48515890200005,1074.745758902,1074.745758902,1074.745758902
16,4.0,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NWL,ADULT SPECIALIST NEUROSCIENCES SERVICES: NEUROLOGY,NCBPS08O,PLD,PLD,4320.78734057,1.0,NEL,Non Elective Inpatients,NEL,NEL,Cost and Volume,Y,AA26E,AA26E,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 9-11",0.0,0.0,,No,,0.0,0.0,4320.78734057,0.0,0.0,0.0,,,,,400,400,Neurology,RYJ,RYJ02,,0.0,Admitted Patient Care,Non-elective,"Emergency (admission method 21-25,28, 2A-2D)",Emergency,1.0,SPELL,Finished spell,Nervous System,Nervous System Procedures and Disorders,D: Trauma,NEUROSCIENCES,D04,Yes,Freeze,,,4.0,AC,1.0,Q2,,PLCM,Not Queried,PLCM/599676/411699,Yes,21,13R,NCBPS08O,NEL,Y56,London,QRV,North West London STP,Y56,London,QRV,North West London Health & Care Partnership (STP),1.226822,3275.0,3275.0,0.0,246.93499999999995,0.21191899999999997,0.0754,257.0,3354.0,252.89159999999998,764.3688609803999,4371.2604609804,4371.2604609804,4371.26046098
17,4.0,ROYAL FREE LONDON NHS FOUNDATION TRUST,NWL,ADULT SPECIALIST NEUROSCIENCES SERVICES: NEUROLOGY,NCBPS08O,PLD,PLD,755.8110622,1.0,DC,Day Cases,DC,DC,Block,Y,AB20Z,AB20Z,Epidural Under Image Control for Pain Management,0.0,0.0,,No,,0.0,0.0,755.8110622,0.0,0.0,0.0,,,,,400,400,Neurology,RAL,RAL01,,0.0,Admitted Patient Care,Elective (admission method 11-13),Elective (admission method 11-13),Daycase (patient class 2 & LoS 0),8.0,SPELL,Finished spell,Nervous System,Pain Management,D: Trauma,NEUROSCIENCES,D04,Yes,Freeze,,,7.0,AC,1.0,Q2,,PLCM,Not Raised,PLCM/600425/413490,Yes,21,13R,NCBPS08o,DC,Y56,London,QMJ,North London STP,Y56,London,QMJ,North London Partners in Health & Care (STP),1.207592,581.9999999864475,582.0,0.0,1.8827999854255495,0.1955610000000001,0.0754,257.0,593.0,44.712199999999996,124.71163554420005,762.4238355442,762.4238355442,762.423835544
18,4.0,ROYAL FREE LONDON NHS FOUNDATION TRUST,NWL,ADULT SPECIALIST NEUROSCIENCES SERVICES: NEUROLOGY,NCBPS08O,PLD,PLD,664.9059516,2.0,DC,Day Cases,DC,DC,Block,Y,AA30E,AA30E,"Medical Care of Patients with Multiple Sclerosis, with CC Score 2-4",0.0,0.0,,No,,0.0,0.0,664.9059516,0.0,0.0,0.0,,,,,400,400,Neurology,RAL,RAL26,,0.0,Admitted Patient Care,Elective (admission method 11-13),Elective (admission method 11-13),Daycase (patient class 2 & LoS 0),8.0,SPELL,Finished spell,Nervous System,Nervous System Procedures and Disorders,D: Trauma,NEUROSCIENCES,D04,Yes,Freeze,,,7.0,AC,1.0,Q2,,PLCM,Not Queried,PLCM/600425/413490,Yes,21,13R,NCBPS08o,DC,Y56,London,QMJ,North London STP,Y56,London,QMJ,North London Partners in Health & Care (STP),1.207592,255.99999998398332,256.0,0.0,-2697.6976000172244,0.1955610000000001,0.0754,257.0,262.0,19.7548,55.100250442800025,336.8550504428,673.7101008856,673.710100886
19,4.0,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NWL,ADULT SPECIALIST NEUROSCIENCES SERVICES: NEUROLOGY,NCBPS08O,PLD,PLD,6377.6140471192,1.0,NEL,Non Elective Inpatients,NEL,NEL,Cost and Volume,Y,HE83A,HE83A,"Early Complications of Trauma or Injury of Non-Specific Joint Site, with CC Score 5+",0.0,0.0,,No,,0.0,0.0,6377.6140471192,0.0,0.0,0.0,,,,,43011,430,Geriatric Medicine,RYJ,RYJ01,,0.0,Admitted Patient Care,Non-elective,"Emergency (admission method 21-25,28, 2A-2D)",Emergency,1.0,SPELL,Finished spell,Musculoskeletal System,Orthopaedic Disorders,D: Trauma,NEUROSCIENCES,D04,Yes,Freeze,,,4.0,AC,1.0,Q2,,PLCM,Not Raised,PLCM/599676/411699,Yes,21,13R,NCBPS08O,NEL,Y56,London,QRV,North West London STP,Y56,London,QRV,North West London Health & Care Partnership (STP),1.226822,4834.0,1278.0,4725.757433368,3920.4835999999996,0.21191899999999997,0.0754,259.0,1288.0,97.11519999999999,293.53222806879995,1678.6474280687999,1678.6474280687999,6404.404861437
20,4.0,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NWL,ADULT SPECIALIST NEUROSCIENCES SERVICES: NEUROLOGY,NCBPS08O,PLD,PLD,10264.343667064,1.0,NEL,Non Elective Inpatients,NEL,NEL,Cost and Volume,Y,AA30C,AA30C,"Medical Care of Patients with Multiple Sclerosis, with CC Score 8+",0.0,0.0,,No,,0.0,0.0,10264.343667064,0.0,0.0,0.0,,,,,400,400,Neurology,RYJ,RYJ02,,0.0,Admitted Patient Care,Non-elective,"Emergency (admission method 21-25,28, 2A-2D)",Emergency,1.0,SPELL,Finished spell,Nervous System,Nervous System Procedures and Disorders,D: Trauma,NEUROSCIENCES,D04,Yes,Freeze,,,4.0,AC,1.0,Q2,,PLCM,Not Queried,PLCM/599676/411699,Yes,21,13R,NCBPS08O,NEL,Y56,London,QWE,South West London Health and Care Partnership,Y56,London,QRV,North West London Health & Care Partnership (STP),1.226822,7780.0,7780.0,0.0,586.6119999999992,0.21191899999999997,0.0754,257.0,7968.0,600.7872,1815.8888146367995,10384.676014636798,10384.676014636798,10384.676014637
21,4.0,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NWL,ADULT SPECIALIST NEUROSCIENCES SERVICES: NEUROLOGY,NCBPS08O,PLD,PLD,10792.073418584,1.0,NEL,Non Elective Inpatients,NEL,NEL,Cost and Volume,Y,AA26C,AA26C,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 15+",0.0,0.0,,No,,0.0,0.0,10792.073418584,0.0,0.0,0.0,,,,,400,400,Neurology,RYJ,RYJ02,,0.0,Admitted Patient Care,Non-elective,"Emergency (admission method 21-25,28, 2A-2D)",Emergency,1.0,SPELL,Finished spell,Nervous System,Nervous System Procedures and Disorders,D: Trauma,NEUROSCIENCES,D04,Yes,Freeze,,,4.0,AC,1.0,Q2,,PLCM,Not Queried,PLCM/599676/411699,Yes,21,13R,NCBPS08O,NEL,Y56,London,QRV,North West London STP,Y56,London,QRV,North West London Health & Care Partnership (STP),1.226822,8180.0,8180.0,0.0,616.771999999999,0.21191899999999997,0.0754,257.0,8377.0,631.6257999999999,1909.0989709101996,10917.7247709102,10917.7247709102,10917.72477091
